City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Dwarka,IN,82.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
8,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
12,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
17,Rikitea,PF,79.39,clear sky,-23.1203,-134.9692,People ThankYou
18,Hithadhoo,MV,82.31,few clouds,-0.6,73.0833,Scoop Guest House
21,Cockburn Town,TC,77.54,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
22,New Norfolk,AU,80.1,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
28,Mackay,AU,82.38,scattered clouds,-21.15,149.2,International Lodge Motel
30,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Sorong,ID,82.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
33,Puerto Ayora,EC,78.12,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Geraldton,AU,82.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
37,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
40,Oistins,BB,77.09,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
42,Busselton,AU,71.44,broken clouds,-33.65,115.3333,Observatory Guest House
43,Bosaso,SO,76.6,clear sky,11.2842,49.1816,Red Sea Hotel
44,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Villa Enata
57,Kavieng,PG,84.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
58,Isangel,VU,82.87,overcast clouds,-19.55,169.2667,Tanna Lodge
59,Cabo San Lucas,MX,70.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Hilo,US,73.26,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
76,Saint-Philippe,RE,79.21,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Inhambane,MZ,71.98,overcast clouds,-23.865,35.3833,Oceano
90,Hualmay,PE,70.36,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
96,Lingao,CN,79.18,broken clouds,19.9103,109.6859,Lingao Ditai Inn
97,Cartagena Del Chaira,CO,72.48,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
101,Flinders,AU,73.06,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
107,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Papara,BR,75.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
110,Tamandare,BR,76.96,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
117,Barranca,PE,70.11,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
121,Lakeway,US,73.36,clear sky,30.3638,-97.9796,Lakeway Resort & Spa
129,Porto Walter,BR,72.66,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
137,Ambilobe,MG,76.08,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
139,Carnarvon,AU,82.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
