City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-03-22 04:40:11,-42.7826,147.0587,61.92,75,100,1.01
1,Cabo San Lucas,MX,2022-03-22 04:38:55,22.8909,-109.9124,68.61,54,13,4.47
2,Mayumba,GA,2022-03-22 04:40:12,-3.432,10.6554,77.27,91,100,6.22
3,Pangnirtung,CA,2022-03-22 04:40:12,66.1451,-65.7125,-13.54,76,73,5.95
4,Ushuaia,AR,2022-03-22 04:40:13,-54.8,-68.3,47.86,76,75,2.3
5,Punta Arenas,CL,2022-03-22 04:40:13,-53.15,-70.9167,51.91,66,75,21.85
6,Provideniya,RU,2022-03-22 04:40:13,64.3833,-173.3,17.71,62,0,4.0
7,Busselton,AU,2022-03-22 04:40:14,-33.65,115.3333,74.86,32,1,6.02
8,Nikolskoye,RU,2022-03-22 04:40:14,59.7035,30.7861,34.88,90,19,6.08
9,Aquiraz,BR,2022-03-22 04:40:15,-3.9014,-38.3911,75.29,87,96,5.95
10,Albany,US,2022-03-22 04:36:06,42.6001,-73.9662,41.36,53,38,4.0
11,Comodoro Rivadavia,AR,2022-03-22 04:40:15,-45.8667,-67.5,60.66,44,0,18.41
12,Rikitea,PF,2022-03-22 04:40:16,-23.1203,-134.9692,79.52,72,5,11.88
13,Bengkulu,ID,2022-03-22 04:40:16,-3.8004,102.2655,85.48,62,99,7.31
14,Geraldton,AU,2022-03-22 04:40:17,-28.7667,114.6,84.61,34,0,14.97
15,Ayan,RU,2022-03-22 04:40:17,56.45,138.1667,24.26,55,7,14.56
16,Shubarkuduk,KZ,2022-03-22 04:40:17,49.1447,56.4872,15.87,92,67,6.24
17,Lebu,CL,2022-03-22 04:40:18,-37.6167,-73.65,54.5,88,15,13.67
18,Hermanus,ZA,2022-03-22 04:38:52,-34.4187,19.2345,67.8,87,60,11.39
19,Cherskiy,RU,2022-03-22 04:40:19,68.75,161.3,29.41,82,100,15.03
20,Ponta Do Sol,PT,2022-03-22 04:40:19,32.6667,-17.1,65.07,74,77,6.46
21,Flinders,AU,2022-03-22 04:40:20,-34.5833,150.8552,85.28,69,60,5.99
22,Fukue,JP,2022-03-22 04:40:20,32.6881,128.8419,55.76,67,75,21.85
23,Ribeira Grande,PT,2022-03-22 04:40:21,38.5167,-28.7,57.69,75,100,18.32
24,Bredasdorp,ZA,2022-03-22 04:40:21,-34.5322,20.0403,68.54,88,73,10.65
25,Vaini,TO,2022-03-22 04:40:21,-21.2,-175.2,80.76,83,20,5.75
26,Esperance,AU,2022-03-22 04:40:22,-33.8667,121.9,67.84,60,79,15.21
27,Tshikapa,CD,2022-03-22 04:40:22,-6.4167,20.8,68.5,93,100,0.02
28,Hilo,US,2022-03-22 04:40:23,19.7297,-155.09,78.53,77,100,4.61
29,Taft,IR,2022-03-22 04:40:23,31.7471,54.2088,57.15,25,20,2.3
30,Mandello Del Lario,IT,2022-03-22 04:40:23,45.9192,9.3193,44.74,61,0,3.4
31,Iqaluit,CA,2022-03-22 04:40:24,63.7506,-68.5145,-14.31,68,0,16.11
32,Jumla,NP,2022-03-22 04:40:24,29.2747,82.1838,65.59,22,0,5.03
33,Inhambane,MZ,2022-03-22 04:40:25,-23.865,35.3833,73.38,88,40,3.44
34,Bluff,NZ,2022-03-22 04:40:25,-46.6,168.3333,65.88,74,23,6.53
35,Ahipara,NZ,2022-03-22 04:40:26,-35.1667,173.1667,71.08,80,5,10.18
36,Kodiak,US,2022-03-22 04:40:26,57.79,-152.4072,35.11,64,0,13.8
37,Teculutan,GT,2022-03-22 04:40:26,14.9833,-89.7167,71.67,92,12,2.8
38,Hobart,AU,2022-03-22 04:37:28,-42.8794,147.3294,62.26,92,75,10.36
39,Upernavik,GL,2022-03-22 04:40:27,72.7868,-56.1549,-18.54,68,95,5.79
40,Newport,GB,2022-03-22 04:40:27,51.5877,-2.9984,50.25,82,66,8.5
41,Areia Branca,BR,2022-03-22 04:40:29,-4.9561,-37.1369,77.27,86,99,7.29
42,Barrow,US,2022-03-22 04:41:29,71.2906,-156.7887,-11.18,77,0,4.61
43,Bulgan,MN,2022-03-22 04:41:30,48.8125,103.5347,32.81,23,44,12.01
44,Vardo,NO,2022-03-22 04:41:30,70.3705,31.1107,33.08,75,93,31.68
45,Dori,BF,2022-03-22 04:41:30,14.0354,-0.0345,79.3,12,81,10.71
